PAD,PIN,GROUP,ORDER
19,!EMU,CONFIG,1
20,!TRST,CONFIG,2
21,TMS,CONFIG,3
22,TDI,CONFIG,4
23,TDO,CONFIG,5
24,TCK,CONFIG,6
29,BMODE0,CONFIG,7
28,BMODE1,CONFIG,8
27,BMODE2,CONFIG,9
61,CLKIN,CONFIG,10
62,XTAL,CONFIG,10
51,EXT_WAKE,CONFIG,15
53,!RESET,CONFIG,15
54,!NMI,CONFIG,15
56,PPI_CLK,CONFIG,15
57,EXTCLK/SCLK,CONFIG,15
59,SDA,CONFIG,30
60,SCL,CONFIG,30
52,!PG,CONFIG,
63,PF0,F,0
64,PF1,F,1
1,PF2,F,2
2,PF3,F,3
4,PF4,F,4
5,PF5,F,5
6,PF6,F,6
7,PF7,F,7
10,PF8,F,8
11,PF9,F,9
12,PF10,F,10
13,PF11,F,11
15,PF12,F,12
16,PF13,F,13
17,PF14,F,14
18,PF15,F,15
31,PG0,G,0
32,PG1,G,1
33,PG2,G,2
34,PG3,G,3
36,PG4,G,4
37,PG5,G,5
38,PG6,G,6
39,PG7,G,7
42,PG8,G,8
43,PG9,G,9
44,PG10,G,10
45,PG11,G,11
47,PG12,G,12
48,PG13,G,13
49,PG14,G,14
50,PG15,G,15
3,VDDEXT,POWER,1
14,VDDEXT,POWER,1
25,VDDEXT,POWER,1
35,VDDEXT,POWER,1
46,VDDEXT,POWER,1
58,VDDEXT,POWER,1
8,VDDINT,POWER,2
9,VDDINT,POWER,2
26,VDDINT,POWER,2
40,VDDINT,POWER,2
41,VDDINT,POWER,2
55,VDDINT,POWER,2
30,GND,POWER,3
PAD,GND,POWER,3
